angle_deg,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,mean_W,std_W,mean_uW
0,6.39198652e-06,6.39039945e-06,6.38785878e-06,6.38754091e-06,6.38722395e-06,6.38690562e-06,6.39325845e-06,6.38849406e-06,6.39103473e-06,6.38627034e-06,6.38817573e-06,6.38658867e-06,6.38785878e-06,6.38372967e-06,6.38404799e-06,6.37960056e-06,6.38436495e-06,6.38309484e-06,6.38150732e-06,6.38404799e-06,6.38436495e-06,6.38182428e-06,6.3821426e-06,6.38055417e-06,6.38087249e-06,6.37642506e-06,6.38055417e-06,6.37674339e-06,6.37833045e-06,6.37388439e-06,6.37547282e-06,6.37674339e-06,6.37388439e-06,6.37261383e-06,6.37166204e-06,6.37007361e-06,6.37229732e-06,6.36848608e-06,6.37039193e-06,6.37102676e-06,6.36880304e-06,6.36657933e-06,6.37039193e-06,6.36530922e-06,6.36784989e-06,6.36657933e-06,6.36626237e-06,6.36276854e-06,6.36372215e-06,6.36276854e-06,6.3782674354e-06,8.620530484375811e-09,6.378267435400001
1,6.10742472e-06,6.10742472e-06,6.10774168e-06,6.10583629e-06,6.10869483e-06,6.10742472e-06,6.10806001e-06,6.10583629e-06,6.1039309e-06,6.10551933e-06,6.10615461e-06,6.10742472e-06,6.10837697e-06,6.10583629e-06,6.10806001e-06,6.10647112e-06,6.1099654e-06,6.10869483e-06,6.10774168e-06,6.10583629e-06,6.10742472e-06,6.10488405e-06,6.10678944e-06,6.10551933e-06,6.10742472e-06,6.10869483e-06,6.10551933e-06,6.10837697e-06,6.10583629e-06,6.10647112e-06,6.1099654e-06,6.10774168e-06,6.11123551e-06,6.1071064e-06,6.10583629e-06,6.10424922e-06,6.10742472e-06,6.10615461e-06,6.10615461e-06,6.10615461e-06,6.10456573e-06,6.10647112e-06,6.10901179e-06,6.1071064e-06,6.10583629e-06,6.10615461e-06,6.10615461e-06,6.10806001e-06,6.10742472e-06,6.10488405e-06,6.1069417718e-06,1.4926180115805045e-09,6.1069417718
2,6.03310764e-06,6.03342551e-06,6.03183753e-06,6.03088483e-06,6.02961472e-06,6.02961472e-06,6.02866157e-06,6.02993214e-06,6.03120225e-06,6.03247281e-06,6.03374292e-06,6.03374292e-06,6.03374292e-06,6.03406033e-06,6.03406033e-06,6.03374292e-06,6.03247281e-06,6.03247281e-06,6.03183753e-06,6.03152012e-06,6.02961472e-06,6.02834416e-06,6.02929686e-06,6.02961472e-06,6.03120225e-06,6.03247281e-06,6.03501303e-06,6.03088483e-06,6.03310764e-06,6.03088483e-06,6.02929686e-06,6.03183753e-06,6.02897944e-06,6.02866157e-06,6.02897944e-06,6.03088483e-06,6.03024955e-06,6.02897944e-06,6.03120225e-06,6.02929686e-06,6.02897944e-06,6.03120225e-06,6.02929686e-06,6.03120225e-06,6.02834416e-06,6.03120225e-06,6.02866157e-06,6.02993214e-06,6.02675618e-06,6.03056742e-06,6.0309419494e-06,1.8870142480145004e-09,6.0309419494
3,6.01024112e-06,6.01214742e-06,6.01182956e-06,6.01341753e-06,6.01341753e-06,6.01055854e-06,6.01024112e-06,6.01119382e-06,6.01119382e-06,6.01468764e-06,6.0108764e-06,6.01341753e-06,6.01024112e-06,6.01468764e-06,6.00992325e-06,6.01341753e-06,6.01278225e-06,6.01437023e-06,6.01278225e-06,6.01214742e-06,6.01405281e-06,6.01405281e-06,6.01468764e-06,6.01437023e-06,6.01373495e-06,6.01849888e-06,6.01818101e-06,6.01818101e-06,6.01627562e-06,6.01818101e-06,6.01754618e-06,6.0210391e-06,6.02072168e-06,6.0210391e-06,6.02294494e-06,6.02199179e-06,6.02040427e-06,6.02230966e-06,6.02230966e-06,6.02421596e-06,6.02199179e-06,6.02135697e-06,6.02072168e-06,6.02326236e-06,6.02326236e-06,6.02357977e-06,6.02421596e-06,6.02421596e-06,6.02357977e-06,6.02612135e-06,6.017012399999999e-06,4.8914889728830675e-09,6.0170124
4,6.02453338e-06,6.02294494e-06,6.02612135e-06,6.02612135e-06,6.02326236e-06,6.02421596e-06,6.02580349e-06,6.02548607e-06,6.02612135e-06,6.02262708e-06,6.02643877e-06,6.02262708e-06,6.02548607e-06,6.02453338e-06,6.02421596e-06,6.0210391e-06,6.02612135e-06,6.02199179e-06,6.02453338e-06,6.02485079e-06,6.02199179e-06,6.02485079e-06,6.02357977e-06,6.02326236e-06,6.02262708e-06,6.02262708e-06,6.02453338e-06,6.02326236e-06,6.02612135e-06,6.02453338e-06,6.02739146e-06,6.02421596e-06,6.02834416e-06,6.02612135e-06,6.0238981e-06,6.02675618e-06,6.02262708e-06,6.02802675e-06,6.02199179e-06,6.0238981e-06,6.02199179e-06,6.02675618e-06,6.02739146e-06,6.02707405e-06,6.02770888e-06,6.02802675e-06,6.02612135e-06,6.02548607e-06,6.02707405e-06,6.02453338e-06,6.024837984600001e-06,1.8704515820220797e-09,6.024837984600001
5,6.03374292e-06,6.03501303e-06,6.03469562e-06,6.03469562e-06,6.0343782e-06,6.03755461e-06,6.03374292e-06,6.03755461e-06,6.03374292e-06,6.03374292e-06,6.03628405e-06,6.0372372e-06,6.03406033e-06,6.03564831e-06,6.03755461e-06,6.03596663e-06,6.03628405e-06,6.03596663e-06,6.03501303e-06,6.03818989e-06,6.03596663e-06,6.03564831e-06,6.03882472e-06,6.03850731e-06,6.03850731e-06,6.03755461e-06,6.03946e-06,6.03850731e-06,6.03882472e-06,6.03818989e-06,6.03882472e-06,6.04073011e-06,6.0372372e-06,6.03882472e-06,6.03977742e-06,6.03882472e-06,6.04073011e-06,6.03787203e-06,6.04009529e-06,6.0372372e-06,6.03660192e-06,6.03882472e-06,6.03691933e-06,6.03882472e-06,6.03818989e-06,6.03882472e-06,6.03850731e-06,6.03691933e-06,6.04009529e-06,6.04009529e-06,6.037300299e-06,1.9620347223087017e-09,6.037300299
6,6.04644674e-06,6.04803472e-06,6.04867046e-06,6.04867046e-06,6.04739944e-06,6.04612887e-06,6.04898787e-06,6.05057585e-06,6.04771685e-06,6.05216383e-06,6.04994057e-06,6.05152854e-06,6.05152854e-06,6.05375135e-06,6.05089326e-06,6.05470404e-06,6.05375135e-06,6.05533933e-06,6.05470404e-06,6.05470404e-06,6.05375135e-06,6.0569273e-06,6.05502191e-06,6.05660989e-06,6.05629202e-06,6.05533933e-06,6.05343394e-06,6.05756259e-06,6.05597461e-06,6.05851528e-06,6.05629202e-06,6.05533933e-06,6.05597461e-06,6.05502191e-06,6.05375135e-06,6.05406922e-06,6.0556572e-06,6.05660989e-06,6.0556572e-06,6.05629202e-06,6.05311652e-06,6.05502191e-06,6.05533933e-06,6.05629202e-06,6.05406922e-06,6.05660989e-06,6.05470404e-06,6.05629202e-06,6.05470404e-06,6.05629202e-06,6.0536434826e-06,3.1231158932359462e-09,6.0536434826
7,6.09313292e-06,6.09345034e-06,6.0947209e-06,6.09440303e-06,6.09376821e-06,6.09503832e-06,6.09599056e-06,6.09662584e-06,6.0947209e-06,6.0956736e-06,6.09313292e-06,6.09599056e-06,6.0947209e-06,6.09599056e-06,6.09376821e-06,6.09186236e-06,6.09408562e-06,6.09186236e-06,6.09218023e-06,6.09186236e-06,6.0947209e-06,6.09408562e-06,6.09503832e-06,6.09408562e-06,6.09440303e-06,6.09313292e-06,6.09440303e-06,6.09249764e-06,6.09345034e-06,6.0947209e-06,6.0947209e-06,6.0947209e-06,6.09599056e-06,6.09059225e-06,6.09218023e-06,6.09218023e-06,6.09408562e-06,6.09249764e-06,6.09249764e-06,6.09440303e-06,6.09122753e-06,6.09249764e-06,6.09345034e-06,6.0947209e-06,6.09599056e-06,6.09440303e-06,6.09281506e-06,6.09281506e-06,6.09408562e-06,6.09249764e-06,6.093837828e-06,1.383189810011676e-09,6.093837828
8,6.14045393e-06,6.1375963e-06,6.14172404e-06,6.13696147e-06,6.14013697e-06,6.13854854e-06,6.14172404e-06,6.13854854e-06,6.13823158e-06,6.14045393e-06,6.14045393e-06,6.13791326e-06,6.13886687e-06,6.13886687e-06,6.14013697e-06,6.13854854e-06,6.14045393e-06,6.14013697e-06,6.13886687e-06,6.13918337e-06,6.14013697e-06,6.13886687e-06,6.14235933e-06,6.13632619e-06,6.14267765e-06,6.14108922e-06,6.14267765e-06,6.14299461e-06,6.14140754e-06,6.14426472e-06,6.1449e-06,6.14140754e-06,6.14267765e-06,6.14299461e-06,6.14045393e-06,6.14235933e-06,6.14108922e-06,6.14108922e-06,6.14077226e-06,6.13854854e-06,6.14267765e-06,6.14077226e-06,6.14140754e-06,6.14045393e-06,6.14204237e-06,6.14140754e-06,6.14426472e-06,6.14299461e-06,6.14394776e-06,6.14172404e-06,6.1407718477999995e-06,1.950350271021312e-09,6.140771847799999
9,6.20683022e-06,6.20651372e-06,6.2074655e-06,6.20778383e-06,6.2074655e-06,6.2074655e-06,6.20619539e-06,6.20683022e-06,6.20619539e-06,6.20841911e-06,6.20492483e-06,6.20587844e-06,6.20587844e-06,6.20524315e-06,6.20619539e-06,6.20397304e-06,6.20619539e-06,6.20524315e-06,6.20683022e-06,6.20619539e-06,6.20778383e-06,6.20429e-06,6.20619539e-06,6.20651372e-06,6.20651372e-06,6.20619539e-06,6.20714854e-06,6.20841911e-06,6.20651372e-06,6.20619539e-06,6.20651372e-06,6.20365472e-06,6.20873743e-06,6.20651372e-06,6.20651372e-06,6.20492483e-06,6.2074655e-06,6.20651372e-06,6.20619539e-06,6.20619539e-06,6.20651372e-06,6.20460833e-06,6.20841911e-06,6.20556011e-06,6.20841911e-06,6.20714854e-06,6.2074655e-06,6.20397304e-06,6.2074655e-06,6.20365472e-06,6.206398929e-06,1.2443254151952969e-09,6.206398929000001
