angle_deg,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100,mean_W,std_W,mean_uW
0,1.43151203e-06,1.43373541e-06,1.4321472e-06,1.43500574e-06,1.43341788e-06,1.43468822e-06,1.43437057e-06,1.43564091e-06,1.43373541e-06,1.43373541e-06,1.43278237e-06,1.43246484e-06,1.43278237e-06,1.43310035e-06,1.43182967e-06,1.43310035e-06,1.43246484e-06,1.43500574e-06,1.43405305e-06,1.43278237e-06,1.43341788e-06,1.43468822e-06,1.43405305e-06,1.43341788e-06,1.43341788e-06,1.43278237e-06,1.43182967e-06,1.43341788e-06,1.43341788e-06,1.43278237e-06,1.43405305e-06,1.43246484e-06,1.4321472e-06,1.43310035e-06,1.43278237e-06,1.43310035e-06,1.43278237e-06,1.43341788e-06,1.4321472e-06,1.43405305e-06,1.4321472e-06,1.43468822e-06,1.43310035e-06,1.43437057e-06,1.43373541e-06,1.43310035e-06,1.43119451e-06,1.43468822e-06,1.43310035e-06,1.43373541e-06,1.43405305e-06,1.43373541e-06,1.43341788e-06,1.43373541e-06,1.43437057e-06,1.43373541e-06,1.43373541e-06,1.43373541e-06,1.43246484e-06,1.43182967e-06,1.43151203e-06,1.43373541e-06,1.43310035e-06,1.43437057e-06,1.43405305e-06,1.4321472e-06,1.43182967e-06,1.43278237e-06,1.43151203e-06,1.43246484e-06,1.43310035e-06,1.43119451e-06,1.43373541e-06,1.43341788e-06,1.43246484e-06,1.43373541e-06,1.43055934e-06,1.43373541e-06,1.43119451e-06,1.43405305e-06,1.4321472e-06,1.43246484e-06,1.43373541e-06,1.4321472e-06,1.43310035e-06,1.43310035e-06,1.43024181e-06,1.43246484e-06,1.43246484e-06,1.4321472e-06,1.43151203e-06,1.43405305e-06,1.43310035e-06,1.4321472e-06,1.43119451e-06,1.43341788e-06,1.43087686e-06,1.43151203e-06,1.43246484e-06,1.43310035e-06,1.4330239349e-06,1.049698774190487e-09,1.4330239349
1,1.438499e-06,1.43532327e-06,1.43945215e-06,1.43722878e-06,1.43786394e-06,1.43818147e-06,1.43786394e-06,1.43881664e-06,1.4375463e-06,1.43818147e-06,1.43722878e-06,1.43786394e-06,1.43659361e-06,1.4375463e-06,1.43976968e-06,1.43659361e-06,1.43786394e-06,1.43945215e-06,1.43691113e-06,1.43627608e-06,1.43786394e-06,1.43627608e-06,1.43818147e-06,1.43722878e-06,1.43881664e-06,1.4375463e-06,1.43722878e-06,1.43659361e-06,1.4375463e-06,1.43881664e-06,1.43722878e-06,1.43786394e-06,1.43945215e-06,1.43595844e-06,1.43881664e-06,1.43818147e-06,1.43595844e-06,1.43786394e-06,1.43945215e-06,1.43595844e-06,1.43786394e-06,1.43786394e-06,1.43722878e-06,1.43627608e-06,1.43881664e-06,1.43881664e-06,1.43913451e-06,1.43786394e-06,1.4375463e-06,1.43786394e-06,1.43722878e-06,1.43881664e-06,1.438499e-06,1.4375463e-06,1.4375463e-06,1.438499e-06,1.43786394e-06,1.43786394e-06,1.43913451e-06,1.43786394e-06,1.43945215e-06,1.43627608e-06,1.4375463e-06,1.43913451e-06,1.43818147e-06,1.43722878e-06,1.43818147e-06,1.43913451e-06,1.43659361e-06,1.4375463e-06,1.43659361e-06,1.43786394e-06,1.438499e-06,1.43595844e-06,1.43691113e-06,1.43786394e-06,1.43945215e-06,1.43881664e-06,1.43818147e-06,1.43595844e-06,1.43786394e-06,1.4375463e-06,1.43659361e-06,1.43627608e-06,1.43818147e-06,1.43595844e-06,1.43945215e-06,1.43595844e-06,1.43659361e-06,1.4375463e-06,1.43913451e-06,1.43659361e-06,1.438499e-06,1.43659361e-06,1.4375463e-06,1.43722878e-06,1.43881664e-06,1.43786394e-06,1.43913451e-06,1.4375463e-06,1.4377432765e-06,1.0308759830458512e-09,1.4377432765
2,1.44802698e-06,1.44866215e-06,1.44897967e-06,1.44993248e-06,1.44897967e-06,1.44866215e-06,1.44643911e-06,1.44770945e-06,1.44993248e-06,1.44802698e-06,1.44897967e-06,1.44802698e-06,1.44961484e-06,1.44739181e-06,1.44897967e-06,1.44961484e-06,1.44802698e-06,1.45056754e-06,1.44739181e-06,1.44866215e-06,1.44897967e-06,1.44866215e-06,1.44739181e-06,1.45056754e-06,1.44707428e-06,1.44897967e-06,1.44802698e-06,1.44929732e-06,1.44866215e-06,1.44897967e-06,1.44866215e-06,1.44834451e-06,1.44770945e-06,1.44770945e-06,1.44834451e-06,1.44802698e-06,1.44675664e-06,1.44834451e-06,1.44802698e-06,1.44866215e-06,1.44897967e-06,1.44993248e-06,1.44961484e-06,1.44866215e-06,1.44739181e-06,1.44993248e-06,1.44866215e-06,1.44834451e-06,1.44834451e-06,1.44961484e-06,1.44739181e-06,1.44993248e-06,1.44739181e-06,1.44897967e-06,1.44961484e-06,1.44802698e-06,1.44580395e-06,1.44961484e-06,1.44739181e-06,1.45025001e-06,1.44961484e-06,1.44802698e-06,1.44834451e-06,1.44993248e-06,1.44802698e-06,1.44929732e-06,1.44802698e-06,1.44993248e-06,1.44612159e-06,1.44993248e-06,1.44739181e-06,1.44739181e-06,1.44643911e-06,1.45025001e-06,1.44707428e-06,1.44897967e-06,1.44770945e-06,1.45152069e-06,1.44739181e-06,1.44897967e-06,1.44802698e-06,1.44866215e-06,1.44707428e-06,1.44929732e-06,1.44866215e-06,1.44866215e-06,1.44580395e-06,1.44834451e-06,1.44897967e-06,1.45152069e-06,1.44739181e-06,1.44897967e-06,1.44866215e-06,1.44802698e-06,1.44770945e-06,1.45120271e-06,1.44961484e-06,1.45152069e-06,1.44739181e-06,1.44866215e-06,1.4485827468e-06,1.1792342337482218e-09,1.4485827468
3,1.45660181e-06,1.45660181e-06,1.45787249e-06,1.45755496e-06,1.45755496e-06,1.45533159e-06,1.45787249e-06,1.45628428e-06,1.45882518e-06,1.45533159e-06,1.45755496e-06,1.45596664e-06,1.45755496e-06,1.45501394e-06,1.45628428e-06,1.45564911e-06,1.45628428e-06,1.45501394e-06,1.45628428e-06,1.45533159e-06,1.45691945e-06,1.45469642e-06,1.45628428e-06,1.45660181e-06,1.45914282e-06,1.45342608e-06,1.45755496e-06,1.45596664e-06,1.45787249e-06,1.45596664e-06,1.45787249e-06,1.45596664e-06,1.45596664e-06,1.45533159e-06,1.45819001e-06,1.45469642e-06,1.45628428e-06,1.45564911e-06,1.45660181e-06,1.45406125e-06,1.45628428e-06,1.45660181e-06,1.45628428e-06,1.45469642e-06,1.45628428e-06,1.45342608e-06,1.45787249e-06,1.45660181e-06,1.45787249e-06,1.45533159e-06,1.45787249e-06,1.45596664e-06,1.45787249e-06,1.45564911e-06,1.45723698e-06,1.45501394e-06,1.45691945e-06,1.45501394e-06,1.45596664e-06,1.45596664e-06,1.45819001e-06,1.45660181e-06,1.45723698e-06,1.45501394e-06,1.45755496e-06,1.45564911e-06,1.45819001e-06,1.45564911e-06,1.45819001e-06,1.45533159e-06,1.45850765e-06,1.45596664e-06,1.45819001e-06,1.45596664e-06,1.45850765e-06,1.45660181e-06,1.45691945e-06,1.45437878e-06,1.45691945e-06,1.45533159e-06,1.45787249e-06,1.45533159e-06,1.45819001e-06,1.45691945e-06,1.45755496e-06,1.45437878e-06,1.45660181e-06,1.45533159e-06,1.45755496e-06,1.45564911e-06,1.45501394e-06,1.45374372e-06,1.45691945e-06,1.45437878e-06,1.45660181e-06,1.45374372e-06,1.45819001e-06,1.45596664e-06,1.45628428e-06,1.45564911e-06,1.4563732823e-06,1.2823365712907322e-09,1.4563732823
4,1.46390676e-06,1.46422428e-06,1.46390676e-06,1.46454192e-06,1.46485945e-06,1.46454192e-06,1.46485945e-06,1.46708248e-06,1.46327125e-06,1.46612979e-06,1.46517709e-06,1.46612979e-06,1.46454192e-06,1.46708248e-06,1.46454192e-06,1.46485945e-06,1.46358877e-06,1.46612979e-06,1.46263608e-06,1.46454192e-06,1.46327125e-06,1.46676496e-06,1.46454192e-06,1.46517709e-06,1.46327125e-06,1.46644732e-06,1.46390676e-06,1.46517709e-06,1.46263608e-06,1.46549462e-06,1.46454192e-06,1.46612979e-06,1.46517709e-06,1.46517709e-06,1.46517709e-06,1.46485945e-06,1.46422428e-06,1.46803518e-06,1.46327125e-06,1.46517709e-06,1.46422428e-06,1.46644732e-06,1.46454192e-06,1.46740001e-06,1.46485945e-06,1.46581215e-06,1.46327125e-06,1.46549462e-06,1.46422428e-06,1.46708248e-06,1.46517709e-06,1.46803518e-06,1.46517709e-06,1.46676496e-06,1.46422428e-06,1.46676496e-06,1.46263608e-06,1.46549462e-06,1.46454192e-06,1.46581215e-06,1.46295372e-06,1.46676496e-06,1.46295372e-06,1.46676496e-06,1.46485945e-06,1.46454192e-06,1.46454192e-06,1.46644732e-06,1.46231855e-06,1.46390676e-06,1.46485945e-06,1.46740001e-06,1.46358877e-06,1.46771765e-06,1.46358877e-06,1.46644732e-06,1.46263608e-06,1.46676496e-06,1.46422428e-06,1.46549462e-06,1.46517709e-06,1.46517709e-06,1.46327125e-06,1.46581215e-06,1.46422428e-06,1.46676496e-06,1.46485945e-06,1.46517709e-06,1.46327125e-06,1.46549462e-06,1.46581215e-06,1.46676496e-06,1.46485945e-06,1.46581215e-06,1.46263608e-06,1.46676496e-06,1.46390676e-06,1.46517709e-06,1.46517709e-06,1.46644732e-06,1.4650436036e-06,1.348331754477766e-09,1.4650436036
5,1.47216406e-06,1.47438709e-06,1.47438709e-06,1.4759753e-06,1.47438709e-06,1.47533979e-06,1.47343428e-06,1.47502215e-06,1.47375192e-06,1.47661046e-06,1.47406945e-06,1.47629282e-06,1.47248159e-06,1.4759753e-06,1.47438709e-06,1.47343428e-06,1.47470462e-06,1.47533979e-06,1.47375192e-06,1.4759753e-06,1.47311675e-06,1.47533979e-06,1.47216406e-06,1.47629282e-06,1.47184642e-06,1.4759753e-06,1.47470462e-06,1.47470462e-06,1.47343428e-06,1.47565731e-06,1.47438709e-06,1.47533979e-06,1.47629282e-06,1.47533979e-06,1.47216406e-06,1.47470462e-06,1.47438709e-06,1.47406945e-06,1.47438709e-06,1.47565731e-06,1.47406945e-06,1.47343428e-06,1.47470462e-06,1.47533979e-06,1.47311675e-06,1.47565731e-06,1.47502215e-06,1.47470462e-06,1.47375192e-06,1.47533979e-06,1.47216406e-06,1.47565731e-06,1.47502215e-06,1.47406945e-06,1.47438709e-06,1.47629282e-06,1.47248159e-06,1.47470462e-06,1.47470462e-06,1.47502215e-06,1.47343428e-06,1.47343428e-06,1.47438709e-06,1.47533979e-06,1.47216406e-06,1.47565731e-06,1.47375192e-06,1.47470462e-06,1.47438709e-06,1.47629282e-06,1.47279923e-06,1.47375192e-06,1.47311675e-06,1.47533979e-06,1.47216406e-06,1.47692799e-06,1.47152889e-06,1.47565731e-06,1.47470462e-06,1.47470462e-06,1.47470462e-06,1.47629282e-06,1.47311675e-06,1.47565731e-06,1.47248159e-06,1.47565731e-06,1.47502215e-06,1.47375192e-06,1.47533979e-06,1.47311675e-06,1.47438709e-06,1.47533979e-06,1.47406945e-06,1.47692799e-06,1.47343428e-06,1.47629282e-06,1.47311675e-06,1.47629282e-06,1.47152889e-06,1.47502215e-06,1.4744728449e-06,1.2946325150802504e-09,1.4744728449
6,1.48232709e-06,1.4842326e-06,1.48200922e-06,1.48550282e-06,1.4842326e-06,1.4842326e-06,1.48327979e-06,1.48582046e-06,1.48486765e-06,1.48550282e-06,1.48296226e-06,1.48359743e-06,1.48455013e-06,1.48645563e-06,1.4842326e-06,1.4842326e-06,1.48582046e-06,1.48645563e-06,1.48296226e-06,1.48550282e-06,1.48327979e-06,1.4842326e-06,1.48550282e-06,1.48391496e-06,1.48582046e-06,1.48550282e-06,1.48232709e-06,1.48709069e-06,1.48359743e-06,1.48645563e-06,1.48391496e-06,1.48645563e-06,1.48296226e-06,1.48486765e-06,1.48359743e-06,1.48709069e-06,1.48232709e-06,1.4842326e-06,1.48455013e-06,1.48645563e-06,1.48359743e-06,1.48486765e-06,1.48264473e-06,1.48582046e-06,1.48327979e-06,1.48582046e-06,1.48486765e-06,1.48455013e-06,1.48391496e-06,1.48613799e-06,1.48359743e-06,1.48486765e-06,1.48391496e-06,1.48455013e-06,1.48582046e-06,1.48550282e-06,1.48327979e-06,1.48582046e-06,1.48232709e-06,1.48486765e-06,1.48455013e-06,1.48550282e-06,1.48391496e-06,1.48582046e-06,1.4842326e-06,1.48296226e-06,1.48391496e-06,1.48264473e-06,1.4842326e-06,1.4842326e-06,1.48613799e-06,1.48518529e-06,1.48550282e-06,1.48327979e-06,1.48391496e-06,1.48296226e-06,1.48709069e-06,1.48296226e-06,1.48327979e-06,1.48359743e-06,1.48645563e-06,1.48518529e-06,1.48455013e-06,1.48391496e-06,1.48518529e-06,1.4842326e-06,1.4842326e-06,1.48518529e-06,1.48391496e-06,1.48645563e-06,1.48772585e-06,1.48486765e-06,1.4842326e-06,1.48391496e-06,1.4842326e-06,1.48455013e-06,1.48391496e-06,1.48486765e-06,1.48550282e-06,1.48486765e-06,1.4845691817000002e-06,1.237180857001971e-09,1.4845691817000002
7,1.49471316e-06,1.49852406e-06,1.49566597e-06,1.49757136e-06,1.4959835e-06,1.49852406e-06,1.49566597e-06,1.49757136e-06,1.49534833e-06,1.497889e-06,1.49630114e-06,1.49725383e-06,1.497889e-06,1.4950308e-06,1.4959835e-06,1.4950308e-06,1.49566597e-06,1.49693619e-06,1.49725383e-06,1.4959835e-06,1.49725383e-06,1.497889e-06,1.49725383e-06,1.49693619e-06,1.49471316e-06,1.4959835e-06,1.49630114e-06,1.49757136e-06,1.497889e-06,1.49915923e-06,1.49661867e-06,1.49757136e-06,1.49820653e-06,1.4959835e-06,1.49852406e-06,1.49693619e-06,1.49757136e-06,1.497889e-06,1.49630114e-06,1.497889e-06,1.49947687e-06,1.4959835e-06,1.4988417e-06,1.49566597e-06,1.49852406e-06,1.4950308e-06,1.49693619e-06,1.49725383e-06,1.4959835e-06,1.49820653e-06,1.49757136e-06,1.49630114e-06,1.49725383e-06,1.497889e-06,1.49630114e-06,1.4959835e-06,1.49725383e-06,1.49852406e-06,1.49630114e-06,1.497889e-06,1.497889e-06,1.49757136e-06,1.49630114e-06,1.497889e-06,1.49630114e-06,1.49630114e-06,1.49852406e-06,1.49630114e-06,1.49725383e-06,1.49852406e-06,1.497889e-06,1.49661867e-06,1.497889e-06,1.4959835e-06,1.49757136e-06,1.49693619e-06,1.49630114e-06,1.49757136e-06,1.49725383e-06,1.49661867e-06,1.497889e-06,1.49661867e-06,1.49471316e-06,1.49915923e-06,1.49630114e-06,1.49725383e-06,1.49757136e-06,1.49693619e-06,1.49630114e-06,1.49852406e-06,1.49820653e-06,1.49566597e-06,1.49852406e-06,1.49534833e-06,1.49852406e-06,1.49757136e-06,1.49725383e-06,1.49566597e-06,1.497889e-06,1.49820653e-06,1.4970600934e-06,1.107319349241415e-09,1.4970600934
8,1.50932237e-06,1.51027507e-06,1.51186293e-06,1.50836956e-06,1.51122777e-06,1.50773451e-06,1.50900473e-06,1.50995743e-06,1.51027507e-06,1.50932237e-06,1.51122777e-06,1.50995743e-06,1.50900473e-06,1.50995743e-06,1.51091024e-06,1.5105926e-06,1.50868721e-06,1.5105926e-06,1.50900473e-06,1.50995743e-06,1.50995743e-06,1.50900473e-06,1.51154529e-06,1.50995743e-06,1.51091024e-06,1.51027507e-06,1.51091024e-06,1.50868721e-06,1.51218046e-06,1.50932237e-06,1.50836956e-06,1.50932237e-06,1.5096399e-06,1.50995743e-06,1.5096399e-06,1.5096399e-06,1.51154529e-06,1.50805204e-06,1.51122777e-06,1.50995743e-06,1.51027507e-06,1.50995743e-06,1.50995743e-06,1.50995743e-06,1.51027507e-06,1.50900473e-06,1.51218046e-06,1.5105926e-06,1.51091024e-06,1.50932237e-06,1.51091024e-06,1.50932237e-06,1.5105926e-06,1.51091024e-06,1.51027507e-06,1.51122777e-06,1.51091024e-06,1.51154529e-06,1.50773451e-06,1.50900473e-06,1.51027507e-06,1.51027507e-06,1.5105926e-06,1.50932237e-06,1.51091024e-06,1.50900473e-06,1.5105926e-06,1.50900473e-06,1.50932237e-06,1.50995743e-06,1.5096399e-06,1.50900473e-06,1.51091024e-06,1.50836956e-06,1.50932237e-06,1.5105926e-06,1.51122777e-06,1.50932237e-06,1.51027507e-06,1.51091024e-06,1.5096399e-06,1.50900473e-06,1.51027507e-06,1.51122777e-06,1.51027507e-06,1.5096399e-06,1.51091024e-06,1.51027507e-06,1.51091024e-06,1.50836956e-06,1.51122777e-06,1.50868721e-06,1.51154529e-06,1.50836956e-06,1.5124981e-06,1.5096399e-06,1.51186293e-06,1.5096399e-06,1.51027507e-06,1.5105926e-06,1.5100590987e-06,1.021068484722411e-09,1.5100590987
9,1.52424889e-06,1.52583721e-06,1.52488406e-06,1.52647226e-06,1.52615473e-06,1.52361383e-06,1.52329631e-06,1.52551956e-06,1.52488406e-06,1.52456653e-06,1.52615473e-06,1.52488406e-06,1.52393147e-06,1.5252017e-06,1.5252017e-06,1.52297878e-06,1.5252017e-06,1.52615473e-06,1.52424889e-06,1.52488406e-06,1.52583721e-06,1.52488406e-06,1.52583721e-06,1.52583721e-06,1.52361383e-06,1.52393147e-06,1.52615473e-06,1.52329631e-06,1.52583721e-06,1.52456653e-06,1.52488406e-06,1.52424889e-06,1.52615473e-06,1.52488406e-06,1.52647226e-06,1.52583721e-06,1.52488406e-06,1.5252017e-06,1.52488406e-06,1.52297878e-06,1.5252017e-06,1.52297878e-06,1.52456653e-06,1.52583721e-06,1.52488406e-06,1.52424889e-06,1.52647226e-06,1.5252017e-06,1.52424889e-06,1.52393147e-06,1.52424889e-06,1.52551956e-06,1.52488406e-06,1.52329631e-06,1.52488406e-06,1.52456653e-06,1.5252017e-06,1.5252017e-06,1.52361383e-06,1.52424889e-06,1.52393147e-06,1.5252017e-06,1.5252017e-06,1.52297878e-06,1.52424889e-06,1.52488406e-06,1.52583721e-06,1.52361383e-06,1.52647226e-06,1.52424889e-06,1.52393147e-06,1.52551956e-06,1.52615473e-06,1.52456653e-06,1.52456653e-06,1.52424889e-06,1.5252017e-06,1.52488406e-06,1.52456653e-06,1.5252017e-06,1.52583721e-06,1.52424889e-06,1.52551956e-06,1.52583721e-06,1.52488406e-06,1.52615473e-06,1.52551956e-06,1.52234361e-06,1.52424889e-06,1.5252017e-06,1.52710743e-06,1.5252017e-06,1.52615473e-06,1.52361383e-06,1.52456653e-06,1.52393147e-06,1.5252017e-06,1.52393147e-06,1.52615473e-06,1.52266114e-06,1.524855625e-06,9.779924358536744e-10,1.524855625
