angle_deg,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,mean_W,std_W,mean_uW
0,2.40525014e-06,2.40461486e-06,2.40588565e-06,2.40397981e-06,2.4049325e-06,2.40270947e-06,2.40652071e-06,2.40334475e-06,2.40429745e-06,2.40302711e-06,2.40461486e-06,2.40270947e-06,2.40461486e-06,2.40556778e-06,2.40525014e-06,2.40270947e-06,2.40366217e-06,2.40302711e-06,2.40683835e-06,2.40397981e-06,2.40461486e-06,2.40334475e-06,2.40588565e-06,2.40525014e-06,2.40461486e-06,2.40429745e-06,2.40683835e-06,2.40302711e-06,2.40556778e-06,2.40525014e-06,2.40461486e-06,2.40429745e-06,2.40525014e-06,2.40652071e-06,2.40652071e-06,2.40429745e-06,2.40683835e-06,2.40334475e-06,2.40683835e-06,2.40525014e-06,2.40429745e-06,2.40334475e-06,2.40652071e-06,2.40429745e-06,2.40810868e-06,2.4049325e-06,2.40810868e-06,2.40715599e-06,2.40683835e-06,2.40715599e-06,2.4050152204e-06,1.4384533765624277e-09,2.4050152203999997
1,2.40715599e-06,2.40683835e-06,2.40842633e-06,2.40810868e-06,2.40652071e-06,2.40652071e-06,2.40715599e-06,2.40525014e-06,2.40588565e-06,2.40556778e-06,2.4074734e-06,2.40525014e-06,2.40525014e-06,2.40334475e-06,2.40683835e-06,2.40270947e-06,2.40810868e-06,2.40525014e-06,2.40525014e-06,2.40302711e-06,2.40525014e-06,2.40334475e-06,2.40683835e-06,2.40556778e-06,2.40620329e-06,2.40556778e-06,2.4074734e-06,2.40525014e-06,2.40715599e-06,2.40556778e-06,2.40779104e-06,2.40620329e-06,2.40874374e-06,2.40874374e-06,2.41001408e-06,2.40906138e-06,2.41001408e-06,2.40652071e-06,2.40652071e-06,2.4074734e-06,2.40874374e-06,2.40906138e-06,2.40779104e-06,2.4074734e-06,2.40906138e-06,2.40397981e-06,2.4074734e-06,2.4074734e-06,2.40810868e-06,2.40525014e-06,2.4066730918000003e-06,1.7281904483368836e-09,2.4066730918
2,2.41827183e-06,2.41954194e-06,2.41795374e-06,2.41795374e-06,2.41255498e-06,2.41446037e-06,2.41446037e-06,2.41573071e-06,2.41446037e-06,2.41604835e-06,2.41509565e-06,2.4166834e-06,2.41287262e-06,2.41477801e-06,2.41446037e-06,2.41700104e-06,2.41541329e-06,2.41604835e-06,2.41604835e-06,2.41827183e-06,2.41700104e-06,2.41509565e-06,2.41382531e-06,2.41414295e-06,2.41477801e-06,2.41604835e-06,2.41604835e-06,2.41223756e-06,2.41350767e-06,2.41414295e-06,2.41541329e-06,2.41700104e-06,2.41509565e-06,2.41382531e-06,2.41255498e-06,2.41541329e-06,2.41509565e-06,2.41700104e-06,2.41541329e-06,2.41446037e-06,2.41350767e-06,2.41604835e-06,2.41573071e-06,2.4166834e-06,2.4166834e-06,2.41636599e-06,2.41477801e-06,2.41477801e-06,2.41573071e-06,2.41700104e-06,2.4154703669999998e-06,1.5631962263429686e-09,2.4154703669999997
3,2.41922453e-06,2.42112992e-06,2.41954194e-06,2.42208262e-06,2.41985958e-06,2.42081228e-06,2.42081228e-06,2.42271767e-06,2.42240026e-06,2.42049464e-06,2.42081228e-06,2.42208262e-06,2.41922453e-06,2.41985958e-06,2.42081228e-06,2.42335295e-06,2.42112992e-06,2.42208262e-06,2.41922453e-06,2.42112992e-06,2.42144756e-06,2.42112992e-06,2.41985958e-06,2.42271767e-06,2.41827183e-06,2.42144756e-06,2.42049464e-06,2.42240026e-06,2.42049464e-06,2.42081228e-06,2.42081228e-06,2.42303531e-06,2.42081228e-06,2.42367037e-06,2.42049464e-06,2.42112992e-06,2.42081228e-06,2.42208262e-06,2.42144756e-06,2.42049464e-06,2.41985958e-06,2.42112992e-06,2.42049464e-06,2.42240026e-06,2.41985958e-06,2.42081228e-06,2.42208262e-06,2.42462352e-06,2.42430588e-06,2.42144756e-06,2.4211934126e-06,1.303241087935521e-09,2.4211934126
4,2.43033992e-06,2.43065779e-06,2.42970464e-06,2.43033992e-06,2.42811689e-06,2.43033992e-06,2.42748183e-06,2.42843453e-06,2.42906958e-06,2.42811689e-06,2.42716419e-06,2.42970464e-06,2.42779925e-06,2.42779925e-06,2.43033992e-06,2.42875194e-06,2.42938722e-06,2.43097543e-06,2.42938722e-06,2.43002228e-06,2.42875194e-06,2.42779925e-06,2.42716419e-06,2.43002228e-06,2.42811689e-06,2.43002228e-06,2.42938722e-06,2.43224576e-06,2.43002228e-06,2.43097543e-06,2.42779925e-06,2.42938722e-06,2.42906958e-06,2.43097543e-06,2.43097543e-06,2.43161048e-06,2.43161048e-06,2.43002228e-06,2.42843453e-06,2.43097543e-06,2.42875194e-06,2.42970464e-06,2.42970464e-06,2.43097543e-06,2.42875194e-06,2.43224576e-06,2.43065779e-06,2.43065779e-06,2.42811689e-06,2.42906958e-06,2.4295587456e-06,1.3005601591332212e-09,2.4295587456
5,2.43573891e-06,2.43891509e-06,2.43828003e-06,2.43796239e-06,2.43955014e-06,2.43573891e-06,2.43669206e-06,2.43510385e-06,2.43669206e-06,2.4370097e-06,2.43796239e-06,2.4370097e-06,2.43828003e-06,2.43828003e-06,2.43923273e-06,2.43764475e-06,2.43923273e-06,2.43859745e-06,2.43828003e-06,2.43637419e-06,2.43828003e-06,2.43764475e-06,2.43828003e-06,2.43669206e-06,2.43828003e-06,2.43828003e-06,2.43923273e-06,2.43859745e-06,2.43986779e-06,2.43669206e-06,2.43637419e-06,2.43415116e-06,2.43573891e-06,2.43605655e-06,2.43859745e-06,2.4344688e-06,2.43573891e-06,2.43415116e-06,2.43478621e-06,2.43415116e-06,2.43669206e-06,2.4344688e-06,2.43637419e-06,2.43605655e-06,2.43732734e-06,2.43605655e-06,2.43796239e-06,2.43764475e-06,2.43573891e-06,2.43605655e-06,2.4370603344e-06,1.5289452110107015e-09,2.4370603344
6,2.44812509e-06,2.44590206e-06,2.445267e-06,2.44399666e-06,2.445267e-06,2.44463172e-06,2.44749003e-06,2.44749003e-06,2.44844273e-06,2.44717239e-06,2.4462197e-06,2.445267e-06,2.4462197e-06,2.44749003e-06,2.44876014e-06,2.44590206e-06,2.44685475e-06,2.44653734e-06,2.44590206e-06,2.44653734e-06,2.4462197e-06,2.44749003e-06,2.44685475e-06,2.4462197e-06,2.44590206e-06,2.44590206e-06,2.4462197e-06,2.44494936e-06,2.445267e-06,2.44494936e-06,2.44367902e-06,2.44558441e-06,2.4462197e-06,2.445267e-06,2.44685475e-06,2.44717239e-06,2.4462197e-06,2.4462197e-06,2.44749003e-06,2.44876014e-06,2.44876014e-06,2.44717239e-06,2.44812509e-06,2.44717239e-06,2.44590206e-06,2.44463172e-06,2.44590206e-06,2.44336138e-06,2.44590206e-06,2.44653734e-06,2.4463276404e-06,1.2472396255956075e-09,2.4463276404
7,2.45542992e-06,2.45479441e-06,2.45257138e-06,2.46019363e-06,2.45733554e-06,2.45892329e-06,2.4560652e-06,2.45733554e-06,2.45924093e-06,2.45860565e-06,2.45987599e-06,2.45924093e-06,2.4579706e-06,2.45892329e-06,2.45955857e-06,2.45924093e-06,2.46082868e-06,2.45828824e-06,2.45955857e-06,2.46082868e-06,2.45924093e-06,2.45987599e-06,2.46082868e-06,2.45860565e-06,2.45828824e-06,2.45924093e-06,2.46019363e-06,2.46019363e-06,2.46082868e-06,2.45987599e-06,2.45924093e-06,2.4579706e-06,2.45860565e-06,2.45828824e-06,2.45765295e-06,2.45765295e-06,2.45892329e-06,2.46114632e-06,2.45860565e-06,2.45860565e-06,2.45892329e-06,2.46019363e-06,2.45860565e-06,2.45892329e-06,2.46082868e-06,2.45860565e-06,2.45892329e-06,2.45892329e-06,2.46019363e-06,2.45955857e-06,2.4588470704e-06,1.5822724708569978e-09,2.4588470703999996
8,2.47130947e-06,2.47003914e-06,2.46908644e-06,2.46940408e-06,2.47035678e-06,2.47416801e-06,2.47480307e-06,2.47321486e-06,2.47289722e-06,2.47289722e-06,2.4735325e-06,2.47321486e-06,2.47226217e-06,2.4760734e-06,2.47067419e-06,2.47162711e-06,2.47130947e-06,2.47257981e-06,2.47289722e-06,2.47448543e-06,2.47385037e-06,2.47385037e-06,2.47385037e-06,2.47416801e-06,2.47416801e-06,2.47385037e-06,2.47385037e-06,2.47321486e-06,2.47257981e-06,2.4735325e-06,2.47416801e-06,2.47194453e-06,2.47416801e-06,2.47130947e-06,2.47416801e-06,2.47416801e-06,2.47226217e-06,2.47257981e-06,2.47289722e-06,2.47162711e-06,2.47385037e-06,2.47321486e-06,2.47416801e-06,2.47385037e-06,2.47194453e-06,2.47257981e-06,2.47321486e-06,2.4735325e-06,2.47289722e-06,2.47321486e-06,2.4729101446e-06,1.3959347184452626e-09,2.4729101446
9,2.48210767e-06,2.48464835e-06,2.48242532e-06,2.48560104e-06,2.48274273e-06,2.48242532e-06,2.48179003e-06,2.48496576e-06,2.48623655e-06,2.4878243e-06,2.48623655e-06,2.48623655e-06,2.48623655e-06,2.48655397e-06,2.48337801e-06,2.48274273e-06,2.48210767e-06,2.48337801e-06,2.48306037e-06,2.48433071e-06,2.48814194e-06,2.48814194e-06,2.48623655e-06,2.48591891e-06,2.4852834e-06,2.48591891e-06,2.48591891e-06,2.48401307e-06,2.48433071e-06,2.48591891e-06,2.48560104e-06,2.48687161e-06,2.48687161e-06,2.48750666e-06,2.48655397e-06,2.48591891e-06,2.48687161e-06,2.48814194e-06,2.48750666e-06,2.4878243e-06,2.4852834e-06,2.48433071e-06,2.4852834e-06,2.48687161e-06,2.48687161e-06,2.48750666e-06,2.4852834e-06,2.48560104e-06,2.48369543e-06,2.48687161e-06,2.4854423724000002e-06,1.774291667591939e-09,2.4854423724
