angle_deg,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100,mean_W,std_W,mean_uW
1,1.37466316e-06,1.36767619e-06,1.37466316e-06,1.36799372e-06,1.37339282e-06,1.36608821e-06,1.37116945e-06,1.36608821e-06,1.37180496e-06,1.36640585e-06,1.37402799e-06,1.36831125e-06,1.37371035e-06,1.36831125e-06,1.37116945e-06,1.36577069e-06,1.37402799e-06,1.36577069e-06,1.37371035e-06,1.36735855e-06,1.37371035e-06,1.36481765e-06,1.37116945e-06,1.36545316e-06,1.37275765e-06,1.36640585e-06,1.37307529e-06,1.36418248e-06,1.37116945e-06,1.36513552e-06,1.37116945e-06,1.36450001e-06,1.37148743e-06,1.36672338e-06,1.37275765e-06,1.36640585e-06,1.37371035e-06,1.36704102e-06,1.37244012e-06,1.36577069e-06,1.37212248e-06,1.36640585e-06,1.37275765e-06,1.36672338e-06,1.37244012e-06,1.36545316e-06,1.37053428e-06,1.36640585e-06,1.37148743e-06,1.36704102e-06,1.37116945e-06,1.36672338e-06,1.37148743e-06,1.36640585e-06,1.37116945e-06,1.36513552e-06,1.37244012e-06,1.36386484e-06,1.37212248e-06,1.36545316e-06,1.37116945e-06,1.36386484e-06,1.37212248e-06,1.36354731e-06,1.37148743e-06,1.36354731e-06,1.37212248e-06,1.36481765e-06,1.37053428e-06,1.36450001e-06,1.37148743e-06,1.36545316e-06,1.37116945e-06,1.36418248e-06,1.37085192e-06,1.36513552e-06,1.37180496e-06,1.36386484e-06,1.36989911e-06,1.36386484e-06,1.37085192e-06,1.36704102e-06,1.37085192e-06,1.36291214e-06,1.36958158e-06,1.36545316e-06,1.37148743e-06,1.36354731e-06,1.36989911e-06,1.36513552e-06,1.37116945e-06,1.36418248e-06,1.36894641e-06,1.36354731e-06,1.36926406e-06,1.36354731e-06,1.36926406e-06,1.36513552e-06,1.37116945e-06,1.36418248e-06,1.3686193658e-06,3.438950800459983e-09,1.3686193657999999
2,1.36481765e-06,1.35973642e-06,1.36418248e-06,1.36068911e-06,1.36577069e-06,1.36037158e-06,1.36577069e-06,1.36037158e-06,1.36481765e-06,1.35846574e-06,1.36545316e-06,1.35910125e-06,1.36481765e-06,1.35973642e-06,1.36640585e-06,1.35910125e-06,1.36640585e-06,1.36068911e-06,1.36640585e-06,1.36068911e-06,1.36640585e-06,1.35846574e-06,1.36418248e-06,1.35910125e-06,1.36481765e-06,1.35846574e-06,1.36608821e-06,1.36068911e-06,1.36418248e-06,1.36100675e-06,1.36545316e-06,1.36386484e-06,1.36450001e-06,1.36513552e-06,1.36259462e-06,1.35878338e-06,1.36259462e-06,1.36100675e-06,1.36354731e-06,1.36322979e-06,1.36450001e-06,1.35941889e-06,1.36386484e-06,1.36005406e-06,1.36481765e-06,1.36291214e-06,1.36577069e-06,1.36037158e-06,1.36577069e-06,1.35846574e-06,1.36608821e-06,1.35814821e-06,1.36418248e-06,1.35846574e-06,1.36577069e-06,1.35973642e-06,1.36608821e-06,1.35783068e-06,1.36608821e-06,1.36100675e-06,1.36354731e-06,1.35973642e-06,1.36418248e-06,1.36037158e-06,1.36513552e-06,1.36259462e-06,1.36450001e-06,1.36100675e-06,1.36195945e-06,1.36068911e-06,1.36513552e-06,1.36164192e-06,1.36450001e-06,1.35973642e-06,1.36354731e-06,1.36164192e-06,1.36481765e-06,1.35878338e-06,1.36545316e-06,1.36005406e-06,1.36481765e-06,1.35941889e-06,1.36545316e-06,1.35814821e-06,1.36354731e-06,1.35910125e-06,1.36513552e-06,1.36005406e-06,1.36640585e-06,1.35910125e-06,1.36672338e-06,1.35878338e-06,1.36513552e-06,1.35910125e-06,1.36418248e-06,1.36132428e-06,1.36481765e-06,1.35814821e-06,1.36418248e-06,1.36005406e-06,1.3624993667999999e-06,2.7473199375955015e-09,1.3624993667999998
3,1.36513552e-06,1.36989911e-06,1.36450001e-06,1.36862889e-06,1.36545316e-06,1.36862889e-06,1.36767619e-06,1.36894641e-06,1.36894641e-06,1.36672338e-06,1.36767619e-06,1.36894641e-06,1.36672338e-06,1.36735855e-06,1.36735855e-06,1.36672338e-06,1.36862889e-06,1.36958158e-06,1.36513552e-06,1.36894641e-06,1.36545316e-06,1.36672338e-06,1.36672338e-06,1.36926406e-06,1.36386484e-06,1.36989911e-06,1.36322979e-06,1.36926406e-06,1.36354731e-06,1.37244012e-06,1.36386484e-06,1.36926406e-06,1.36577069e-06,1.37021675e-06,1.36227698e-06,1.36989911e-06,1.36577069e-06,1.37148743e-06,1.36450001e-06,1.37085192e-06,1.36291214e-06,1.36958158e-06,1.36322979e-06,1.37021675e-06,1.36481765e-06,1.36894641e-06,1.36450001e-06,1.36958158e-06,1.36513552e-06,1.36989911e-06,1.36418248e-06,1.36989911e-06,1.36291214e-06,1.37085192e-06,1.36291214e-06,1.36958158e-06,1.36195945e-06,1.36958158e-06,1.36291214e-06,1.36926406e-06,1.36195945e-06,1.36926406e-06,1.36291214e-06,1.36894641e-06,1.36227698e-06,1.36926406e-06,1.36354731e-06,1.36989911e-06,1.36354731e-06,1.36894641e-06,1.36227698e-06,1.36926406e-06,1.36291214e-06,1.36958158e-06,1.36545316e-06,1.37148743e-06,1.36450001e-06,1.37116945e-06,1.36450001e-06,1.37116945e-06,1.36450001e-06,1.37021675e-06,1.36386484e-06,1.36926406e-06,1.36513552e-06,1.36958158e-06,1.36259462e-06,1.36894641e-06,1.36418248e-06,1.37085192e-06,1.36545316e-06,1.37116945e-06,1.36545316e-06,1.37053428e-06,1.36418248e-06,1.37180496e-06,1.36450001e-06,1.37148743e-06,1.36354731e-06,1.37212248e-06,1.3671107607999998e-06,3.000735590754948e-09,1.3671107607999997
4,1.37053428e-06,1.37275765e-06,1.37148743e-06,1.37275765e-06,1.37053428e-06,1.37148743e-06,1.37148743e-06,1.36926406e-06,1.37148743e-06,1.37275765e-06,1.37021675e-06,1.37053428e-06,1.37212248e-06,1.36894641e-06,1.37529821e-06,1.36672338e-06,1.37529821e-06,1.36735855e-06,1.37307529e-06,1.36831125e-06,1.37434552e-06,1.36799372e-06,1.37434552e-06,1.36767619e-06,1.37529821e-06,1.36831125e-06,1.37466316e-06,1.36767619e-06,1.37339282e-06,1.36640585e-06,1.37307529e-06,1.36735855e-06,1.37371035e-06,1.36926406e-06,1.37466316e-06,1.36862889e-06,1.37529821e-06,1.36831125e-06,1.37434552e-06,1.36862889e-06,1.37625102e-06,1.36608821e-06,1.37529821e-06,1.36862889e-06,1.37307529e-06,1.36735855e-06,1.37371035e-06,1.36831125e-06,1.37339282e-06,1.36894641e-06,1.37529821e-06,1.36958158e-06,1.37498068e-06,1.36831125e-06,1.37466316e-06,1.36831125e-06,1.37561585e-06,1.36735855e-06,1.37307529e-06,1.36799372e-06,1.37529821e-06,1.36831125e-06,1.37466316e-06,1.36767619e-06,1.37275765e-06,1.36831125e-06,1.37529821e-06,1.36799372e-06,1.37402799e-06,1.36894641e-06,1.37402799e-06,1.36862889e-06,1.37371035e-06,1.36862889e-06,1.37466316e-06,1.37021675e-06,1.37275765e-06,1.36799372e-06,1.37244012e-06,1.36894641e-06,1.37402799e-06,1.36958158e-06,1.37402799e-06,1.37053428e-06,1.37275765e-06,1.36672338e-06,1.37307529e-06,1.37085192e-06,1.37402799e-06,1.36958158e-06,1.37371035e-06,1.36831125e-06,1.37498068e-06,1.36958158e-06,1.37212248e-06,1.36704102e-06,1.37339282e-06,1.36862889e-06,1.37307529e-06,1.36608821e-06,1.3711950342999999e-06,2.9040709828467414e-09,1.3711950343
5,1.37720372e-06,1.37498068e-06,1.37910956e-06,1.37275765e-06,1.37910956e-06,1.37434552e-06,1.37879192e-06,1.37371035e-06,1.37974462e-06,1.37371035e-06,1.37879192e-06,1.37244012e-06,1.37815675e-06,1.37402799e-06,1.38006226e-06,1.37244012e-06,1.37910956e-06,1.37593338e-06,1.38006226e-06,1.37498068e-06,1.38069743e-06,1.37307529e-06,1.37974462e-06,1.37402799e-06,1.38006226e-06,1.37212248e-06,1.37910956e-06,1.37402799e-06,1.38037979e-06,1.37371035e-06,1.38037979e-06,1.37371035e-06,1.38006226e-06,1.37212248e-06,1.37910956e-06,1.37371035e-06,1.37974462e-06,1.37371035e-06,1.37879192e-06,1.37180496e-06,1.37879192e-06,1.37371035e-06,1.37783923e-06,1.37466316e-06,1.38037979e-06,1.37371035e-06,1.38037979e-06,1.37371035e-06,1.38037979e-06,1.37244012e-06,1.37879192e-06,1.37307529e-06,1.37879192e-06,1.37244012e-06,1.37815675e-06,1.37148743e-06,1.37847439e-06,1.37275765e-06,1.37974462e-06,1.37307529e-06,1.38037979e-06,1.37371035e-06,1.37879192e-06,1.37275765e-06,1.37910956e-06,1.37275765e-06,1.37910956e-06,1.37402799e-06,1.37910956e-06,1.37307529e-06,1.37847439e-06,1.37371035e-06,1.37974462e-06,1.37434552e-06,1.3775217e-06,1.37244012e-06,1.37974462e-06,1.37529821e-06,1.38037979e-06,1.37212248e-06,1.37942709e-06,1.37529821e-06,1.37974462e-06,1.37466316e-06,1.38037979e-06,1.37180496e-06,1.37974462e-06,1.37339282e-06,1.37942709e-06,1.37529821e-06,1.37974462e-06,1.37212248e-06,1.38037979e-06,1.37402799e-06,1.37974462e-06,1.37371035e-06,1.38037979e-06,1.37371035e-06,1.38006226e-06,1.37180496e-06,1.376438525e-06,3.132777363417804e-09,1.376438525
6,1.38514372e-06,1.38165012e-06,1.38355551e-06,1.37942709e-06,1.38450866e-06,1.38101495e-06,1.3867317e-06,1.38006226e-06,1.38450866e-06,1.37815675e-06,1.38450866e-06,1.37815675e-06,1.38450866e-06,1.37910956e-06,1.38514372e-06,1.37815675e-06,1.38577889e-06,1.38037979e-06,1.38514372e-06,1.37942709e-06,1.38450866e-06,1.37910956e-06,1.3867317e-06,1.37942709e-06,1.38609653e-06,1.38006226e-06,1.38514372e-06,1.38037979e-06,1.3867317e-06,1.38037979e-06,1.38609653e-06,1.37879192e-06,1.38450866e-06,1.37942709e-06,1.3867317e-06,1.38006226e-06,1.38577889e-06,1.37942709e-06,1.38482619e-06,1.37910956e-06,1.3838735e-06,1.3775217e-06,1.38419102e-06,1.37815675e-06,1.38577889e-06,1.38037979e-06,1.38450866e-06,1.38037979e-06,1.38641406e-06,1.37815675e-06,1.3838735e-06,1.38006226e-06,1.3867317e-06,1.37942709e-06,1.38641406e-06,1.38101495e-06,1.38609653e-06,1.37942709e-06,1.38450866e-06,1.37815675e-06,1.38419102e-06,1.38037979e-06,1.3867317e-06,1.38037979e-06,1.38514372e-06,1.38006226e-06,1.38323799e-06,1.38006226e-06,1.38577889e-06,1.38101495e-06,1.38736675e-06,1.38069743e-06,1.38609653e-06,1.37974462e-06,1.38609653e-06,1.37974462e-06,1.38736675e-06,1.37974462e-06,1.38514372e-06,1.37942709e-06,1.38609653e-06,1.37910956e-06,1.38609653e-06,1.38069743e-06,1.38514372e-06,1.37847439e-06,1.38450866e-06,1.37910956e-06,1.38450866e-06,1.37910956e-06,1.38609653e-06,1.38165012e-06,1.38577889e-06,1.37974462e-06,1.38546136e-06,1.38037979e-06,1.38482619e-06,1.38165012e-06,1.38514372e-06,1.37910956e-06,1.3825458373e-06,3.017749208099918e-09,1.3825458373000001
7,1.39308349e-06,1.38768439e-06,1.39181316e-06,1.38768439e-06,1.39149563e-06,1.38895462e-06,1.39276585e-06,1.38800192e-06,1.39308349e-06,1.3867317e-06,1.39276585e-06,1.38609653e-06,1.39435372e-06,1.38641406e-06,1.39435372e-06,1.38546136e-06,1.39467136e-06,1.38609653e-06,1.39181316e-06,1.38736675e-06,1.39276585e-06,1.38736675e-06,1.39308349e-06,1.38704922e-06,1.39371866e-06,1.38863709e-06,1.39244833e-06,1.38831956e-06,1.39117799e-06,1.38863709e-06,1.39244833e-06,1.38895462e-06,1.39149563e-06,1.38927226e-06,1.39149563e-06,1.38641406e-06,1.3921308e-06,1.38927226e-06,1.3921308e-06,1.38768439e-06,1.39371866e-06,1.38577889e-06,1.3921308e-06,1.38704922e-06,1.39403619e-06,1.38514372e-06,1.39403619e-06,1.38736675e-06,1.39276585e-06,1.38831956e-06,1.39308349e-06,1.38641406e-06,1.39371866e-06,1.38736675e-06,1.39244833e-06,1.38641406e-06,1.39371866e-06,1.38800192e-06,1.39276585e-06,1.38736675e-06,1.3921308e-06,1.3867317e-06,1.39244833e-06,1.38609653e-06,1.39276585e-06,1.38641406e-06,1.39403619e-06,1.38736675e-06,1.39181316e-06,1.38863709e-06,1.39086046e-06,1.3867317e-06,1.39498889e-06,1.38736675e-06,1.39403619e-06,1.38863709e-06,1.39276585e-06,1.38768439e-06,1.39149563e-06,1.38927226e-06,1.39244833e-06,1.38990777e-06,1.38958978e-06,1.39086046e-06,1.39276585e-06,1.38800192e-06,1.3921308e-06,1.38704922e-06,1.39371866e-06,1.38577889e-06,1.39308349e-06,1.38704922e-06,1.39308349e-06,1.38704922e-06,1.39403619e-06,1.38577889e-06,1.39530653e-06,1.38927226e-06,1.39371866e-06,1.38704922e-06,1.3901679737e-06,2.9299037020143344e-09,1.3901679737
8,1.39943529e-06,1.39784743e-06,1.39784743e-06,1.39816507e-06,1.39911776e-06,1.39911776e-06,1.39721226e-06,1.39721226e-06,1.39943529e-06,1.39816507e-06,1.39943529e-06,1.39721226e-06,1.40102316e-06,1.39975293e-06,1.39721226e-06,1.3984826e-06,1.39911776e-06,1.39784743e-06,1.39975293e-06,1.3984826e-06,1.3965772e-06,1.39784743e-06,1.3975299e-06,1.39816507e-06,1.39911776e-06,1.4013408e-06,1.39784743e-06,1.40070563e-06,1.3965772e-06,1.39784743e-06,1.39784743e-06,1.4013408e-06,1.3965772e-06,1.3984826e-06,1.39816507e-06,1.39943529e-06,1.39911776e-06,1.40070563e-06,1.3975299e-06,1.39880012e-06,1.39689473e-06,1.39911776e-06,1.3975299e-06,1.39911776e-06,1.39943529e-06,1.40007046e-06,1.3975299e-06,1.40007046e-06,1.39911776e-06,1.40070563e-06,1.39816507e-06,1.3984826e-06,1.3965772e-06,1.40070563e-06,1.39689473e-06,1.40102316e-06,1.39467136e-06,1.40070563e-06,1.3975299e-06,1.39943529e-06,1.39625956e-06,1.4013408e-06,1.39340102e-06,1.3984826e-06,1.39467136e-06,1.39784743e-06,1.39530653e-06,1.40038799e-06,1.39530653e-06,1.39911776e-06,1.39594204e-06,1.3984826e-06,1.39498889e-06,1.39943529e-06,1.39530653e-06,1.39943529e-06,1.39467136e-06,1.39784743e-06,1.39721226e-06,1.39721226e-06,1.3975299e-06,1.3965772e-06,1.3965772e-06,1.39594204e-06,1.39943529e-06,1.40070563e-06,1.3975299e-06,1.40038799e-06,1.39594204e-06,1.39816507e-06,1.39498889e-06,1.3984826e-06,1.39467136e-06,1.39943529e-06,1.39562405e-06,1.40070563e-06,1.39498889e-06,1.40197585e-06,1.39403619e-06,1.39975293e-06,1.3981332217999999e-06,1.8764562420000062e-09,1.3981332217999998
9,1.40483439e-06,1.41055114e-06,1.40197585e-06,1.40991597e-06,1.402929e-06,1.41055114e-06,1.40229383e-06,1.4092808e-06,1.402929e-06,1.41055114e-06,1.40483439e-06,1.4092808e-06,1.40419934e-06,1.41023349e-06,1.40515203e-06,1.4092808e-06,1.40451687e-06,1.4083281e-06,1.40356417e-06,1.40896327e-06,1.40546956e-06,1.41086866e-06,1.40610473e-06,1.40991597e-06,1.40515203e-06,1.40737507e-06,1.40642226e-06,1.4092808e-06,1.40546956e-06,1.40959844e-06,1.40419934e-06,1.40642226e-06,1.40356417e-06,1.40769259e-06,1.4038817e-06,1.40737507e-06,1.40546956e-06,1.40737507e-06,1.402929e-06,1.40737507e-06,1.40483439e-06,1.40896327e-06,1.40705743e-06,1.40896327e-06,1.40642226e-06,1.40801012e-06,1.40546956e-06,1.40642226e-06,1.40610473e-06,1.4067399e-06,1.40546956e-06,1.40896327e-06,1.40546956e-06,1.40864563e-06,1.40483439e-06,1.40705743e-06,1.4057872e-06,1.40801012e-06,1.40483439e-06,1.40864563e-06,1.40483439e-06,1.40959844e-06,1.40419934e-06,1.41086866e-06,1.4057872e-06,1.40959844e-06,1.40642226e-06,1.4083281e-06,1.40324653e-06,1.40896327e-06,1.40451687e-06,1.40959844e-06,1.4057872e-06,1.40737507e-06,1.40546956e-06,1.40959844e-06,1.40515203e-06,1.40959844e-06,1.40642226e-06,1.40864563e-06,1.40546956e-06,1.4083281e-06,1.4057872e-06,1.40769259e-06,1.40737507e-06,1.40705743e-06,1.40419934e-06,1.41055114e-06,1.40642226e-06,1.4092808e-06,1.40515203e-06,1.40769259e-06,1.40451687e-06,1.41023349e-06,1.4057872e-06,1.4092808e-06,1.40483439e-06,1.40991597e-06,1.40451687e-06,1.40959844e-06,1.4069051351e-06,2.277171060726682e-09,1.4069051351
10,1.41499754e-06,1.41944349e-06,1.4146799e-06,1.42007866e-06,1.41658541e-06,1.41658541e-06,1.41563271e-06,1.41880844e-06,1.41626776e-06,1.41912597e-06,1.41626776e-06,1.41944349e-06,1.41595024e-06,1.41817327e-06,1.4146799e-06,1.4175381e-06,1.41690293e-06,1.41690293e-06,1.41563271e-06,1.4184908e-06,1.41626776e-06,1.41944349e-06,1.41722057e-06,1.41563271e-06,1.41880844e-06,1.41531507e-06,1.41944349e-06,1.41245653e-06,1.41976113e-06,1.41595024e-06,1.42007866e-06,1.41404439e-06,1.41817327e-06,1.41595024e-06,1.41817327e-06,1.41658541e-06,1.41785563e-06,1.41626776e-06,1.41563271e-06,1.41531507e-06,1.41880844e-06,1.41563271e-06,1.41595024e-06,1.41658541e-06,1.41722057e-06,1.41531507e-06,1.41626776e-06,1.41499754e-06,1.41626776e-06,1.41817327e-06,1.41658541e-06,1.41880844e-06,1.41944349e-06,1.41785563e-06,1.41880844e-06,1.41722057e-06,1.41817327e-06,1.41499754e-06,1.41944349e-06,1.41531507e-06,1.41722057e-06,1.4146799e-06,1.41817327e-06,1.41372686e-06,1.41976113e-06,1.41436203e-06,1.4184908e-06,1.4146799e-06,1.41626776e-06,1.41563271e-06,1.41880844e-06,1.41595024e-06,1.41595024e-06,1.41817327e-06,1.4175381e-06,1.41690293e-06,1.4184908e-06,1.4146799e-06,1.41722057e-06,1.41563271e-06,1.41595024e-06,1.41722057e-06,1.41563271e-06,1.41690293e-06,1.41563271e-06,1.4175381e-06,1.41404439e-06,1.41785563e-06,1.41531507e-06,1.41626776e-06,1.4146799e-06,1.41690293e-06,1.41563271e-06,1.41880844e-06,1.41785563e-06,1.41817327e-06,1.41563271e-06,1.4175381e-06,1.41404439e-06,1.4184908e-06,1.416848945e-06,1.6611989448904074e-09,1.416848945
