angle_deg,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100,mean_W,std_W,mean_uW
0,1.68619699e-05,1.67825838e-05,1.67921098e-05,1.68016359e-05,1.67889357e-05,1.68048136e-05,1.67921098e-05,1.67921098e-05,1.67762337e-05,1.68048136e-05,1.67698818e-05,1.67889357e-05,1.67730577e-05,1.67603557e-05,1.67794078e-05,1.67571816e-05,1.67381277e-05,1.67317758e-05,1.67508297e-05,1.66904956e-05,1.67063718e-05,1.67381277e-05,1.66968475e-05,1.67381277e-05,1.66936716e-05,1.67158978e-05,1.66873215e-05,1.67095495e-05,1.66904956e-05,1.66873215e-05,1.66714435e-05,1.66714435e-05,1.66492155e-05,1.66650916e-05,1.66428636e-05,1.66587415e-05,1.66396894e-05,1.66460413e-05,1.66015834e-05,1.66079353e-05,1.65920574e-05,1.66079353e-05,1.65793554e-05,1.65698293e-05,1.65761812e-05,1.65444253e-05,1.65571255e-05,1.65317233e-05,1.65285492e-05,1.65190231e-05,1.65253714e-05,1.64904432e-05,1.65571255e-05,1.64555149e-05,1.65285492e-05,1.64428111e-05,1.64682133e-05,1.6487269e-05,1.6439637e-05,1.64682133e-05,1.64364592e-05,1.64364592e-05,1.64174089e-05,1.64174089e-05,1.63983532e-05,1.63697769e-05,1.63793029e-05,1.63761288e-05,1.63602508e-05,1.63697769e-05,1.63284967e-05,1.63443729e-05,1.6334845e-05,1.63126188e-05,1.6309441e-05,1.62903907e-05,1.6271335e-05,1.62618107e-05,1.62522847e-05,1.62364067e-05,1.62491106e-05,1.62332326e-05,1.62046526e-05,1.62141787e-05,1.62078268e-05,1.61792505e-05,1.62078268e-05,1.61538464e-05,1.61856005e-05,1.61316184e-05,1.61633725e-05,1.61284406e-05,1.61411444e-05,1.60966865e-05,1.61062144e-05,1.60681084e-05,1.61157404e-05,1.60331783e-05,1.60554064e-05,1.60681084e-05,1.6493713705e-05,2.3184345326188323e-07,16.493713705
1,1.2805448e-05,1.28124348e-05,1.28073534e-05,1.28092588e-05,1.2804494e-05,1.28121164e-05,1.28057645e-05,1.28245019e-05,1.27813109e-05,1.28327601e-05,1.27854382e-05,1.28184693e-05,1.27844869e-05,1.28210095e-05,1.27794056e-05,1.28283145e-05,1.2789249e-05,1.28340307e-05,1.2804494e-05,1.28302199e-05,1.28006832e-05,1.28324427e-05,1.27781332e-05,1.28299016e-05,1.27819458e-05,1.28073534e-05,1.27968724e-05,1.28073534e-05,1.27987778e-05,1.27978246e-05,1.27740059e-05,1.28225965e-05,1.27809926e-05,1.28016354e-05,1.27902031e-05,1.28105294e-05,1.2789249e-05,1.28108459e-05,1.27987778e-05,1.28092588e-05,1.27873436e-05,1.28184693e-05,1.27914727e-05,1.28251377e-05,1.27816274e-05,1.28200563e-05,1.27867088e-05,1.28022702e-05,1.27762278e-05,1.28238671e-05,1.27921085e-05,1.2828631e-05,1.27689245e-05,1.2814975e-05,1.27930616e-05,1.27984595e-05,1.28013189e-05,1.28060829e-05,1.27778167e-05,1.28175152e-05,1.27752764e-05,1.282228e-05,1.27686062e-05,1.28098936e-05,1.27714657e-05,1.27870271e-05,1.27663825e-05,1.28048123e-05,1.27740059e-05,1.28152915e-05,1.27917911e-05,1.27962376e-05,1.27943322e-05,1.27921085e-05,1.27816274e-05,1.27921085e-05,1.27790872e-05,1.28124348e-05,1.27701951e-05,1.28159281e-05,1.27790872e-05,1.28067177e-05,1.27971898e-05,1.27946487e-05,1.27695594e-05,1.28219617e-05,1.27641606e-05,1.28124348e-05,1.27590793e-05,1.28121164e-05,1.27794056e-05,1.27917911e-05,1.27841686e-05,1.28175152e-05,1.27695594e-05,1.28251377e-05,1.27778167e-05,1.28248203e-05,1.27749581e-05,1.2825456e-05,1.2799104936000001e-05,1.898309389539289e-08,12.799104936
2,1.17853406e-05,1.17812115e-05,1.17818481e-05,1.17783538e-05,1.178407e-05,1.17856589e-05,1.17897862e-05,1.17783538e-05,1.17983618e-05,1.17859754e-05,1.17850232e-05,1.17827994e-05,1.17821646e-05,1.17885156e-05,1.17837535e-05,1.17885156e-05,1.17834352e-05,1.17847048e-05,1.17869286e-05,1.17831178e-05,1.17888339e-05,1.1790421e-05,1.17910567e-05,1.17881991e-05,1.17910567e-05,1.17805757e-05,1.17888339e-05,1.17929621e-05,1.178407e-05,1.17935988e-05,1.17875643e-05,1.17885156e-05,1.17812115e-05,1.17847048e-05,1.17888339e-05,1.17859754e-05,1.17913751e-05,1.17891514e-05,1.17866102e-05,1.17881991e-05,1.1796139e-05,1.1794551e-05,1.1796139e-05,1.178407e-05,1.17869286e-05,1.17910567e-05,1.17983618e-05,1.18012204e-05,1.17958207e-05,1.17885156e-05,1.17958207e-05,1.1796139e-05,1.17951859e-05,1.1796139e-05,1.1800902e-05,1.17964564e-05,1.17958207e-05,1.17856589e-05,1.17910567e-05,1.17831178e-05,1.17932805e-05,1.17821646e-05,1.17881991e-05,1.17935988e-05,1.17821646e-05,1.17824829e-05,1.17891514e-05,1.17935988e-05,1.17916916e-05,1.17881991e-05,1.17878808e-05,1.17859754e-05,1.17932805e-05,1.17932805e-05,1.17999498e-05,1.17923273e-05,1.17920099e-05,1.17999498e-05,1.17935988e-05,1.17910567e-05,1.17948694e-05,1.17916916e-05,1.17859754e-05,1.17910567e-05,1.17866102e-05,1.17802592e-05,1.17789887e-05,1.17799409e-05,1.17831178e-05,1.17783538e-05,1.17869286e-05,1.17818481e-05,1.17853406e-05,1.17859754e-05,1.17859754e-05,1.17920099e-05,1.17862937e-05,1.17869286e-05,1.17856589e-05,1.17834352e-05,1.1788538665000002e-05,5.487486763179992e-09,11.788538665
3,1.14645718e-05,1.1476006e-05,1.1474418e-05,1.14766417e-05,1.14801342e-05,1.14798167e-05,1.14788636e-05,1.14845798e-05,1.14788636e-05,1.14820396e-05,1.14798167e-05,1.14731474e-05,1.14667955e-05,1.14747354e-05,1.14661607e-05,1.14782288e-05,1.14683826e-05,1.14769582e-05,1.1476006e-05,1.14753711e-05,1.14810873e-05,1.14731474e-05,1.14969662e-05,1.14502809e-05,1.14890272e-05,1.14658424e-05,1.14721934e-05,1.14620316e-05,1.14687009e-05,1.14623499e-05,1.14848981e-05,1.14464692e-05,1.14883924e-05,1.14480572e-05,1.1492838e-05,1.14594905e-05,1.14874392e-05,1.14572667e-05,1.14833092e-05,1.14794984e-05,1.14810873e-05,1.14763234e-05,1.14756876e-05,1.14785471e-05,1.14741006e-05,1.14833092e-05,1.14766417e-05,1.14718769e-05,1.14753711e-05,1.14734657e-05,1.14766417e-05,1.14706063e-05,1.14769582e-05,1.14690183e-05,1.14661607e-05,1.14617142e-05,1.14658424e-05,1.14674312e-05,1.14671129e-05,1.14655259e-05,1.14680661e-05,1.14655259e-05,1.14671129e-05,1.14709237e-05,1.14699715e-05,1.14721934e-05,1.14734657e-05,1.14706063e-05,1.14658424e-05,1.14696531e-05,1.14661607e-05,1.14693366e-05,1.14696531e-05,1.14683826e-05,1.14648901e-05,1.14661607e-05,1.14655259e-05,1.14658424e-05,1.14648901e-05,1.14667955e-05,1.14677478e-05,1.14658424e-05,1.14613958e-05,1.14617142e-05,1.14575851e-05,1.14633021e-05,1.1460761e-05,1.14626664e-05,1.14579025e-05,1.14633021e-05,1.14582208e-05,1.145441e-05,1.14579025e-05,1.14575851e-05,1.14553613e-05,1.14553613e-05,1.14594905e-05,1.14677478e-05,1.14604427e-05,1.14629847e-05,1.1469869707e-05,9.454039436899476e-09,11.469869707
4,1.12775106e-05,1.12892612e-05,1.12619482e-05,1.1293072e-05,1.12470216e-05,1.12905318e-05,1.12673479e-05,1.12752869e-05,1.12736998e-05,1.12702055e-05,1.12768748e-05,1.12746511e-05,1.12778289e-05,1.12819562e-05,1.12860853e-05,1.12905318e-05,1.12889447e-05,1.12924372e-05,1.12816397e-05,1.12860853e-05,1.12895796e-05,1.12879907e-05,1.12952957e-05,1.12937068e-05,1.12879907e-05,1.12876724e-05,1.12879907e-05,1.12908501e-05,1.12864027e-05,1.12873558e-05,1.12803691e-05,1.12902144e-05,1.12854505e-05,1.12952957e-05,1.12905318e-05,1.12873558e-05,1.12848156e-05,1.12854505e-05,1.12813213e-05,1.12841799e-05,1.12841799e-05,1.12787802e-05,1.12800508e-05,1.12838616e-05,1.12803691e-05,1.1282591e-05,1.12771932e-05,1.12803691e-05,1.12727457e-05,1.12819562e-05,1.12743346e-05,1.12800508e-05,1.12800508e-05,1.12841799e-05,1.12784637e-05,1.12784637e-05,1.12775106e-05,1.1282591e-05,1.12841799e-05,1.12819562e-05,1.12806856e-05,1.12854505e-05,1.12803691e-05,1.12829093e-05,1.12743346e-05,1.12800508e-05,1.12813213e-05,1.12822745e-05,1.12800508e-05,1.12759217e-05,1.12829093e-05,1.1282591e-05,1.12749694e-05,1.12879907e-05,1.12559137e-05,1.12724292e-05,1.12860853e-05,1.12727457e-05,1.12886264e-05,1.12813213e-05,1.1293072e-05,1.12854505e-05,1.12870375e-05,1.12787802e-05,1.12813213e-05,1.12790985e-05,1.12778289e-05,1.127624e-05,1.12724292e-05,1.12689349e-05,1.12711587e-05,1.12686184e-05,1.12705238e-05,1.12749694e-05,1.12829093e-05,1.12778289e-05,1.12876724e-05,1.12752869e-05,1.12768748e-05,1.12727457e-05,1.1280943498e-05,7.871134746527726e-09,11.280943498000001
5,1.12317766e-05,1.12374928e-05,1.12400348e-05,1.12470216e-05,1.12447979e-05,1.12511498e-05,1.12422576e-05,1.12546431e-05,1.1244163e-05,1.12536918e-05,1.12422576e-05,1.12476573e-05,1.12397165e-05,1.12422576e-05,1.12362231e-05,1.12444814e-05,1.1236858e-05,1.12422576e-05,1.12422576e-05,1.12435273e-05,1.12444814e-05,1.12467033e-05,1.12447979e-05,1.12514681e-05,1.12444814e-05,1.12476573e-05,1.12343178e-05,1.12438456e-05,1.12365415e-05,1.12435273e-05,1.12346361e-05,1.12428925e-05,1.12406706e-05,1.1244163e-05,1.12397165e-05,1.12482921e-05,1.12521029e-05,1.12549615e-05,1.12524212e-05,1.12597245e-05,1.12536918e-05,1.12584548e-05,1.12524212e-05,1.12609951e-05,1.12486086e-05,1.12568669e-05,1.1245751e-05,1.12568669e-05,1.12476573e-05,1.12492444e-05,1.12432108e-05,1.12467033e-05,1.12409871e-05,1.1247339e-05,1.1242576e-05,1.1248927e-05,1.1244163e-05,1.12511498e-05,1.1245751e-05,1.12571843e-05,1.12492444e-05,1.12575026e-05,1.12438456e-05,1.12546431e-05,1.12495627e-05,1.12546431e-05,1.12521029e-05,1.12514681e-05,1.12568669e-05,1.12543266e-05,1.12352709e-05,1.12606785e-05,1.12409871e-05,1.12597245e-05,1.12346361e-05,1.12625839e-05,1.12244716e-05,1.12622656e-05,1.12292364e-05,1.12575026e-05,1.12394e-05,1.1248927e-05,1.12444814e-05,1.12470216e-05,1.1247339e-05,1.12451162e-05,1.12419402e-05,1.12422576e-05,1.12416219e-05,1.12362231e-05,1.1236858e-05,1.12384469e-05,1.12381285e-05,1.12409871e-05,1.12371763e-05,1.12470216e-05,1.12419402e-05,1.12498792e-05,1.12416219e-05,1.12444814e-05,1.1246129071e-05,7.600599849107974e-09,11.246129071
6,1.12883081e-05,1.13222904e-05,1.1279416e-05,1.13232436e-05,1.1285767e-05,1.13280084e-05,1.13137166e-05,1.13070464e-05,1.13184797e-05,1.13092692e-05,1.13184797e-05,1.13105398e-05,1.13184797e-05,1.1315622e-05,1.1323561e-05,1.13197493e-05,1.1318798e-05,1.13140331e-05,1.1315622e-05,1.13070464e-05,1.13067281e-05,1.13280084e-05,1.13184797e-05,1.13067281e-05,1.13216556e-05,1.13133983e-05,1.13194328e-05,1.13168926e-05,1.13210199e-05,1.13159385e-05,1.13232436e-05,1.13172091e-05,1.13267379e-05,1.13172091e-05,1.13283249e-05,1.13108581e-05,1.13210199e-05,1.13111746e-05,1.13222904e-05,1.13159385e-05,1.13257847e-05,1.13146689e-05,1.13203851e-05,1.13108581e-05,1.13207034e-05,1.13184797e-05,1.13283249e-05,1.13210199e-05,1.13200676e-05,1.13162569e-05,1.13283249e-05,1.13153037e-05,1.13222904e-05,1.1318798e-05,1.13286433e-05,1.1321973e-05,1.13334063e-05,1.13222904e-05,1.13375354e-05,1.13315009e-05,1.13362648e-05,1.13257847e-05,1.13324541e-05,1.1326103e-05,1.13257847e-05,1.13245142e-05,1.13241958e-05,1.13273727e-05,1.13245142e-05,1.13200676e-05,1.1326103e-05,1.13168926e-05,1.13241958e-05,1.13159385e-05,1.13257847e-05,1.13133983e-05,1.13181623e-05,1.13146689e-05,1.1315622e-05,1.13108581e-05,1.1315622e-05,1.13079986e-05,1.1308317e-05,1.13108581e-05,1.13184797e-05,1.13105398e-05,1.1323561e-05,1.13073638e-05,1.13203851e-05,1.13114929e-05,1.13216556e-05,1.131308e-05,1.13159385e-05,1.1305141e-05,1.13073638e-05,1.1305141e-05,1.13102224e-05,1.13029173e-05,1.13118094e-05,1.13054584e-05,1.1317384054e-05,9.342851922913286e-09,11.317384054
7,1.15042712e-05,1.1500143e-05,1.15125295e-05,1.15052244e-05,1.15217381e-05,1.15217381e-05,1.15118937e-05,1.15157054e-05,1.15099874e-05,1.15049061e-05,1.1512846e-05,1.15166567e-05,1.15074463e-05,1.15125295e-05,1.15036355e-05,1.15179273e-05,1.15103057e-05,1.15242801e-05,1.15084003e-05,1.15255507e-05,1.15090352e-05,1.15214216e-05,1.15115754e-05,1.15185621e-05,1.15138e-05,1.15242801e-05,1.15122111e-05,1.15138e-05,1.15074463e-05,1.15071298e-05,1.15068115e-05,1.15166567e-05,1.15074463e-05,1.15169751e-05,1.15084003e-05,1.15179273e-05,1.15090352e-05,1.15182456e-05,1.15014136e-05,1.15153871e-05,1.15099874e-05,1.1512846e-05,1.15014136e-05,1.15112589e-05,1.1506495e-05,1.15150697e-05,1.15115754e-05,1.15150697e-05,1.15090352e-05,1.15182456e-05,1.15068115e-05,1.15252324e-05,1.15074463e-05,1.15157054e-05,1.15103057e-05,1.15239618e-05,1.15179273e-05,1.15204675e-05,1.15163402e-05,1.15207858e-05,1.15166567e-05,1.15252324e-05,1.15153871e-05,1.15315834e-05,1.1523327e-05,1.15293615e-05,1.15118937e-05,1.15265029e-05,1.15176108e-05,1.15293615e-05,1.1520151e-05,1.15344428e-05,1.15236453e-05,1.15290431e-05,1.15191979e-05,1.1523327e-05,1.15344428e-05,1.15344428e-05,1.15242801e-05,1.15341245e-05,1.15236453e-05,1.15366665e-05,1.1523327e-05,1.15309485e-05,1.15217381e-05,1.15328539e-05,1.15185621e-05,1.15312669e-05,1.15166567e-05,1.15265029e-05,1.15179273e-05,1.15265029e-05,1.1520151e-05,1.15214216e-05,1.1523327e-05,1.15344428e-05,1.15265029e-05,1.15252324e-05,1.15141165e-05,1.15277726e-05,1.1517848349e-05,8.663770653883922e-09,11.517848349
8,1.18533053e-05,1.18596572e-05,1.18571161e-05,1.18647376e-05,1.18609269e-05,1.18574344e-05,1.1860292e-05,1.18653734e-05,1.18647376e-05,1.18669614e-05,1.18647376e-05,1.18669614e-05,1.18660082e-05,1.18733133e-05,1.18644211e-05,1.18736316e-05,1.18618809e-05,1.18698208e-05,1.18596572e-05,1.18695025e-05,1.18596572e-05,1.18698208e-05,1.18631506e-05,1.18672788e-05,1.18618809e-05,1.18698208e-05,1.18618809e-05,1.18698208e-05,1.18577518e-05,1.18618809e-05,1.1863468e-05,1.18672788e-05,1.1860292e-05,1.18688677e-05,1.18606104e-05,1.18717262e-05,1.18618809e-05,1.18672788e-05,1.18618809e-05,1.18599755e-05,1.18799826e-05,1.18396492e-05,1.18850639e-05,1.18647376e-05,1.18577518e-05,1.18682319e-05,1.18742664e-05,1.18545759e-05,1.18672788e-05,1.1872361e-05,1.18615626e-05,1.18774424e-05,1.1858705e-05,1.18672788e-05,1.18615626e-05,1.1865056e-05,1.18596572e-05,1.18679154e-05,1.18698208e-05,1.18672788e-05,1.18698208e-05,1.18749022e-05,1.18618809e-05,1.18771241e-05,1.18653734e-05,1.18742664e-05,1.18621974e-05,1.18818889e-05,1.1872361e-05,1.18872877e-05,1.18685502e-05,1.18790294e-05,1.1872361e-05,1.18771241e-05,1.18698208e-05,1.18720427e-05,1.1872361e-05,1.18834769e-05,1.18701373e-05,1.18799826e-05,1.1866643e-05,1.1872361e-05,1.18710914e-05,1.18688677e-05,1.18558464e-05,1.18644211e-05,1.18552107e-05,1.1865056e-05,1.18593398e-05,1.18698208e-05,1.1866643e-05,1.18704556e-05,1.18618809e-05,1.18621974e-05,1.18733133e-05,1.18615626e-05,1.18621974e-05,1.18707731e-05,1.18567996e-05,1.18615626e-05,1.1866548901000002e-05,7.3991598062009035e-09,11.866548901000002
9,1.23182608e-05,1.23198479e-05,1.23163554e-05,1.23271529e-05,1.23122263e-05,1.23131795e-05,1.23103209e-05,1.23230238e-05,1.23182608e-05,1.231445e-05,1.23128611e-05,1.2320801e-05,1.23112741e-05,1.23249301e-05,1.23169903e-05,1.23296932e-05,1.23220716e-05,1.23322343e-05,1.23109558e-05,1.23166719e-05,1.23106374e-05,1.23204827e-05,1.231445e-05,1.23252476e-05,1.23227064e-05,1.23255659e-05,1.2317626e-05,1.23258824e-05,1.23141317e-05,1.23309637e-05,1.23131795e-05,1.23268364e-05,1.23154023e-05,1.23268364e-05,1.23119089e-05,1.23201662e-05,1.23115906e-05,1.23093669e-05,1.23296932e-05,1.22985693e-05,1.23347745e-05,1.22884076e-05,1.23246118e-05,1.23036507e-05,1.23169903e-05,1.23141317e-05,1.23198479e-05,1.23166719e-05,1.2320801e-05,1.23242953e-05,1.23147665e-05,1.23204827e-05,1.23290583e-05,1.23017453e-05,1.23392219e-05,1.22976162e-05,1.23271529e-05,1.231445e-05,1.23443033e-05,1.23014288e-05,1.23427144e-05,1.23030159e-05,1.23220716e-05,1.23204827e-05,1.23220716e-05,1.23077798e-05,1.23347745e-05,1.22988877e-05,1.23217533e-05,1.23236605e-05,1.23169903e-05,1.23233422e-05,1.231445e-05,1.23179425e-05,1.231445e-05,1.23236605e-05,1.2320801e-05,1.23166719e-05,1.23182608e-05,1.23093669e-05,1.23204827e-05,1.23131795e-05,1.23115906e-05,1.23246118e-05,1.23214368e-05,1.23103209e-05,1.23277878e-05,1.23246118e-05,1.23350928e-05,1.2295076e-05,1.23430327e-05,1.23106374e-05,1.23255659e-05,1.23293767e-05,1.23271529e-05,1.23220716e-05,1.23293767e-05,1.23119089e-05,1.23265181e-05,1.23077798e-05,1.2318879732999999e-05,1.0056620731647975e-08,12.318879733
